message,category,token
"12.07.21 мною была сделана первая прививка, 15.07.21 позвонила в поликлинику сказала где взять справку, так как данные на гос. услугах не появились. Пришла получить её в 315 каб. Записали мою фамилию, обещали вбить. Сегодня уже 28.07.21 данных на гос. услугах нет, сотрудники, которые на неделю позже меня там же прививались уже имеют данные на гос. услугах. Прошу разобраться с проблемой.",4,сделать первый прививка позвонить поликлиника сказать взять справка данные гос услуга появиться прийти получить каб записать фамилия обещать вбить сегодня данные гос услуга сотрудник который неделя поздний прививаться иметь данные гос услуга просить разобраться проблема
"Складирование строительных материалов, на братских могилах погибших воинов на воинском мемориале",3,складирование строительный материал братский могила погибнуть воин воинский мемориал
<p>Здравствуйте обращаюсь к вам так как больше не к кому никто нас не слышит у нас курская область обоянский район посёлок Рудавский нет воды 2 часа утром идёт так же в обед и вечером летом нам говорили нет так как люди поливают огороды сейчас зима а воды как не было так и нет так же и осень было</p>,3,обращаться большой никто слышать курский область обоянский район поселок рудавский вода час утро идти обед вечер лето говорить человек поливать огород зима вода осень
"<p>Хотелось бы что бы вы благоустроли сквер на сах.заводе возле библиотеки. Не надо строить площадки напротив жд вокзала, надо построить площадку тут, в этот сквере, это место красивое, его надо убрать и все.&nbsp;</p>",3,хотеться благоустроль сквер сах завод возле библиотека строить площадка напротив жд вокзал построить площадка сквер место красивый оно убрать весь
"<p>Курский район, поселок Сахаровка, д. 80.&nbsp;</p><p>Дом на территории воинской части рядом с Клюквинской средней школой Курского района, не в самой Сахаровке, просто адрес такой.</p><p>Две недели в доме нет горячей воды. Прорвало трубу в подвале. Аварийка перекрыла воду. &nbsp;Холодная тоже без напора - до верхних этажей еле доходит. Управляющая компания ООО “УК ЭНЕРГИЯ” ничего не отвечает, телефон не берет. И ничего не делает. Сколько это будет продолжатся? К кому обращаться?</p><p>Ждать ваш ответ месяц? Или есть возможность работать побыстрее? Это все-таки аварийная ситуация.</p>",3,курский район поселок сахаровка дом территория воинский часть рядом клюквинский средний школа курский район сахаровка просто адрес неделя дом горячий вода прорвать труба подвал аварийка перекрыть вода холодный напор верхний этаж еле доходить управлять компания ооо ук энергия ничто отвечать телефон брать ничто делать сколько продолжиться обращаться ждать ответ месяц возможность работать быстрый все-таки аварийный ситуация
Не вывозят картон 2 недели,3,вывозить картон неделя
"<p>Добрый день!&nbsp;</p><p>Хотелось в мик-не Льгова 1 увидеть какой нибудь сквер где распологались бы спортивные тренажёры с детской площадкой. В этом году в нашей области объявлен годом благоустройств, так давай не сидеть, а участвовать во всех возможных проектах. Надеемся что скоро появится хоть какая то благоустроенная территория в данном мик-не.&nbsp;</p>",3,хотеться мик-не увидеть сквер распологаться спортивный тренажер детский площадка год область объявить год благоустройство давать сидеть участвовать весь возможный проект надеяться скоро появиться благоустроенный территория данный мик-не
"<p>Хочу Вас попросить что бы вы, совместно с АТЭЛ пустили по маршруту Курск-Теткино, Луидор-2250DS (ГАЗ Next) ГОС № О 186 МР 46.</p><p>Данная газель оборудована просторной площадкой для людей с ограниченными возможностями, тем самым люди смогут ездить с города в город и на инвалидной коляске. &nbsp;Надеюсь на Ваше понимание и на понимание транспортной компании.</p>",8,хотеть попросить совместно атэла пустить маршрут курск-теткино газ гос мр данный газель оборудовать просторный площадка человек ограниченный возможность самый человек смочь ездить город город инвалидный коляска надеяться понимание понимание транспортный компания
"<p>Дополнение к <span style=`background-color:rgb(255,255,255);color:rgb(126,136,147);`>Сообщение №:</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`>&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>100299&nbsp;</strong></span></p><p><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>Честно прождал месяц с сообщения о выполнении, но всё осталось по-прежнему. Знака как не было, так и нет, машины как ездили по пешеходной зоне, так и ездят. Интересно, сколько времени нужно для установки знака?</strong></span></p>",0,дополнение сообщение честно прождать месяц сообщение выполнение весь остаться по-прежнему знак машина ездить пешеходный зона ездить интересно сколько время нужный установка знак
"<p>Очередной долгострой от `Квадры`. В августе разрыли, в сентябре наспех закопали. Центральный вход в парк Дзержинского выглядит омерзительно, &nbsp;а пешеходы переходят ул. Бочарова вне перехода. Когда вернут в первоначальный вид? Ждут заморозков?</p>",3,очередной долгострой квадра август разрыли сентябрь наспех закопать центральный вход парк дзержинский выглядеть омерзительно пешеход переходить улица вне переход вернуть первоначальный вид ждать заморозок
"Здравствуйте! Прошу покосить траву вдоль улицы Резиновая и прилегающих. Трава почти в человеческий рост, проезжать перекрёстки просто опасно.",3,просить покосить трава вдоль улица резиновый прилегающих трава человеческий рост проезжать перекресток просто опасный
<p>сорная трава</p>,3,сорный трава
<p>Прошу Вас направить письмо руководству сах.завода что бы они замени флаг РФ.</p>,5,просить направить письмо руководство сах завод заменить флаг рф
"<p>Здравствуйте!&nbsp;</p><p>Мы, жители домов 166,168,170,172 по ул.5-я кислинская просим разобраться в проблеме плохой подачи холодной воды. Начиная с осени 2020г холодная вода течет из кранов маленькой струйкой. Мы неоднократно обращались в водоканал с нашей проблемой. Там нам говорили, что ищут причину, однако с осени воз и ныне там. Это все при том, что сейчас ещё нет полива приусадебных участков. Нормальный напор воды есть только ночью.&nbsp;</p><p>Не может ли быть связана наша проблема с открытием автомойки рядом с нами? Очень надеемся, что ситуация в ближайшее время изменится. Спасибо!&nbsp;</p>",3,житель дом улица кислинская просить разобраться проблема плохой подача холодный вода начинать осень холодный вода течь кран маленький струйка неоднократно обращаться водоканал проблема говорить искать причина однако осень воз ныне весь полив приусадебный участок нормальный напор вода ночь мочь связать проблема открытие автомойка рядом надеяться ситуация близкий время измениться спасибо
"Здравствуйте! 21.09 жильцы дома 97/2 по ул.Ленина г.Железногорск Курская область, обращались в УК «жилсервис ЗЖБИ 3» по поводу составления актов по ущербу, нанесённому дождем! По телефону столкнулись с хамством и полнейшей некомпетентностью диспетчера Новикова. На все вопросы он отвечал что не знает ничего, и вешал трубку не выслушав о проблеме до конца! В УК должны сохраниться записи разговоров, если они от них не избавились!",3,жилец дом улица ленин железногорск курский область обращаться ук жилсервис зжби повод составление акт ущерб нанести дождь телефон столкнуться хамство полный некомпетентность диспетчер весь вопрос отвечать знать ничто вешать трубка выслушать проблема конец ук должный сохраниться запись разговор избавиться
"Добрый вечер! Месяц назад на Крюковском повороте были проведены работы по починке водопровода. Ямы после проделанных работ засыпаны не были, хотя было достаточное количество техники. Как итог: ямы, от которых начало трескаться дорожное покрытие, так как дорога находится на возвышенности, и большое количество грязи. Прошу разобраться с таким вопиющим пренебрежением к работе!",0,месяц назад крюковский поворот провести работа починка водопровод яма проделать работа засыпать хотя достаточный количество техника итог яма который начать трескаться дорожный покрытие дорога находиться возвышенность большой количество грязь просить разобраться вопиющий пренебрежение работа
"<p>Добрый день. Уже 10 января 2022г., по улицам Прилужная и Заречная не чистят улицы от снега.</p><p>Администрация сельского совета не принимает ни каких &nbsp;действий, им этот вопрос не важен. Просьба обратить на это внимание и на регулярной основе, а не по жалобам чистить улицы от снега.&nbsp;</p>",0,январь улица прилужная заречный чистить улица снег администрация сельский совет принимать действие вопрос важный просьба обратить внимание регулярный основа жалоба чистить улица снег
<p>Сломана крышка люка рядом с отделом полиции</p>,3,сломать крышка люк рядом отдел полиция
"Нет горячей воды больше 14, ПАО квадра нарушает закон! Согласно пункту 3.1.11. СанПиН 2.1.4.2496-09 в период ежегодных профилактических ремонтов отключение систем горячего водоснабжения не должно превышать 14 суток. Прошу компенсировать каждый день без воды неустойкой в размере 1000р за день каждому владельцу квартиры.",3,горячий вода пао квадра нарушать закон согласно пункт санпин период ежегодный профилактический ремонт отключение система горячий водоснабжение должный превышать сутки просить компенсировать каждый день вода неустойка размер день каждый владелец квартира
"На развилке дороги Володарского - А.Аристарховой, возле дома 27 по ул Володарского, находится муниципальный земельный участок. Он полностью зарос травой, кустами и даже леревьями высотрй до 5-7 метров!!! Полностью отсутствует просмотр дороги для водителей, что составляет угрозу для пешеходов, которые пытвютмя перейти дорогу, в том числе и дети, которые по этой дороге скоро пойдут в шуолы!!! Деревья создают угрозу порыва линий электропередачи, т.к. провода полностью переплелись с ветками. При сильном ветре уже несколько раз пришлось вызывать аварийную службу,  в связи с порывом проводов и отсутствием электричества. Наведите, пожалуйста, порядок! Уберите деревья и покосите кусты и траву!!!",3,развилка дорога володарский возле дом улица володарский находиться муниципальный земельный участок полностью зарасти трава куст леревие высотря метр полностью отсутствовать просмотр дорога водитель составлять угроза пешеход который пытвютмить перейти дорога число ребенок который дорога скоро пойти шуол дерево создавать угроза порыв линия электропередача провод полностью переплестись ветка сильный ветер несколько прийтись вызывать аварийный служба связь порыв провод отсутствие электричество наведите пожалуйста порядок убрать дерево покосить куст трава
"Дорожного покрытия нет вообще, ездить и ходить не возможно",0,дорожный покрытие вообще ездить ходить возможный
<p>Прошу Вас сделать безопасную трамвайную остановку “Центральный рынок” &nbsp;данная остановка не соответсует требования которые написанны минестерства транспорта. Если вы не обеспечит в ближайшее время безопасную остановку то мы будем писать в другие органы. &nbsp;На данной остановке должен стоять забор и быть павильон а также пандус для маломобильных граждан.&nbsp;</p>,8,просить сделать безопасный трамвайный остановка центральный рынок данный остановка соответсовать требование который написанный минестерство транспорт обеспечить близкий время безопасный остановка писать орган данный остановка должный стоять забор павильон также пандус маломобильный гражданин
"Наледь. Не очистят дорогу в деревне 1-ая Моква, ул. Школьная",0,наледь очистить дорога деревня моква улица школьный
Детская площадка в ужасном состоянии,3,детский площадка ужасный состояние
"<p>Здравствуйте.Хочется уточнить,а что у нас в городе за новая система покоса травы.В сквере на Веспремской трава на протяжении лета несколько раз косилась, а на против дома №9 рядом с гаражами ни разу.</p>",3,хотеться уточнить город новый система покос трава сквер веспремский трава протяжение лето несколько коситься против дом рядом гараж
"<p>Вот в таком неудовлетворительном санитарном состоянии находится территория и тротурар рядом с ТЦ Еропа,почтой и Гелиусом.</p>",3,неудовлетворительный санитарный состояние находиться территория тротурар рядом тц ероп почта
<p>Мусор от мусорной контейнеоной площадки летит на ближайшие дома. Территория возле площадки не убирается. Почему дом должен убирать территорию не принадлежащую ему? Требуем организовать ежедневную уборку. Мусор от мусорной контейнеоной площадки летит на ближайшие дома. Территория возле площадки не убирается. Почему дом должен убирать территорию не принадлежащую ему? Требуем организовать ежедневную уборку.&nbsp;</p>,3,мусор мусорный контейнеона площадка лететь близкий дом территория возле площадка убираться почему дом должный убирать территория принадлежать требовать организовать ежедневный уборка мусор мусорный контейнеона площадка лететь близкий дом территория возле площадка убираться почему дом должный убирать территория принадлежать требовать организовать ежедневный уборка
Прошу принять меры. Постоянно припаркованные на тротуаре авто мешают проходу пешеходов,0,просить принять мера постоянно припарковать тротуар авто мешать проходу пешеход
"Отдельное сообщение ввиду отсутствия технической возможности добавить фотографии в сообщении о проблеме √ 95070, находящейся на рассмотрении (доработка от 22.06.21).
В ответе указана, что сорная растительность убрана. Вечером шла по данной улице. Предоставленная информация оказалась неверной. Частично трава покошена, но в том месте, фотографии которого были приложены мною, с начала весны покоса и уборки (обрезки, спила итд) высокой травы, кустарников не было.
Очень длительный период ожидания ответа (30 дней), далее отправка на доработку (ещё 30 дней), так и лето пройдет, можно и не косить?
Трава в некоторых местах выше роста человека.
Прошу убрать! Заранее благодарю от жителей.",3,отдельный сообщение ввиду отсутствие технический возможность добавить фотография сообщение проблема находиться рассмотрение доработка ответ указать сорный растительность убрать вечер идти данный улица предоставить информация оказаться неверный частично трава покосить место фотография который приложить начало весна покос уборка обрезка спить итд высокий трава кустарник длительный период ожидание ответ день далее отправка доработка день лето пройти косить трава некоторый место выше рост человек просить убрать заранее благодарить житель
"<p>Вследствие отсутствия уборки снега и наледи на Южном переулке, г. Курска, являющимся дорогой общего пользования (Постановление Администрации города Курска Курской области №813 от 13 марта 2013г.), создана угроза жизни и здоровья граждан, как передвигающихся по вышеуказанной дороге, так и проживающих на Южном переулке. Проезд спец транспорта (скорой помощи, пожарных автомобилей, транспорта аварийных служб) невозможен. В связи с вышеизложенным прошу Вас провести необходимые организационные действия для решения указанного вопроса, а именно очистке Южного переулка от снежной массы и наледи.&nbsp;</p>",0,вследствие отсутствие уборка снег наледь южный переулок курск являться дорога общий пользование постановление администрация город курск курский область март создать угроза жизнь здоровье гражданин передвигаться вышеуказанный дорога проживать южный переулок проезд спец транспорт скорый помощь пожарный автомобиль транспорт аварийный служба невозможный связь вышеизложенный просить провести необходимый организационный действие решение указать вопрос именно очистка южный переулок снежный масса наледь
<p>Необходимо восстановить покрытие.</p>,0,необходимый восстановить покрытие
"Забита ливнёвка, перед Конти",3,забить ливневка
"<p>Здравствуйт! Сегодня столкнулся с большой бродячей собакой без чипа на ухе возле магазина Пятрочка по адресу Дериглазова 15. Собака вплотную подошла к выходу из магазина и откровенно пугала покупателей, которые выходили из магазина. Очень не хочется пойти за продуктами, а оказаться в БСМП у рабиолога с укусом бродячего животного. По Указанныи телефонам (55-47-60 и 74-02-46) трубку никто не брал. Просьба разобраться с огромным количеством животных без надзора в разных районах города Курска.</p><p><br><br data-cke-filler=`true`></p><p>фото для примера&nbsp;</p>",1,здравствуйт сегодня столкнуться большой бродячий собака чип уха возле магазин пятрочка адрес дериглазов собака вплотную подойти выход магазин откровенно пугать покупатель который выходить магазин хотеться пойти продукт оказаться бсмп рабиолог укус бродячий животное указанный телефон трубка никто брать просьба разобраться огромный количество животное надзор разный район город курск фото пример
"<p>Прошу Вас пустить пригородный поезд Льгов-Белгород-Льгов. Вы понимаете что люди страдаю, пустите хотя бы один раз в неделю-по воскресеньем, составностью-1 вагон. &nbsp;Вы сможете это поезд профинансировать если он будет ездить 1 раз в неделю, в качестве перевозчика хотелось бы видеть ппк черноземье, я пользовался услугами данной компании и хочу сказать что обслуживание на высоте, пускай билет будет дороже, сделайте для данного поезда тарифный план другой, но поезд надо пускать. Также поезд должен быть 700-й номерации и не должен останавливается на каждой остановке а останавливается только на крупных оп и станциях. Надеемся что вы услышите нас, а если не услышите то также наши деревни будут “умирать”. &nbsp;Молодцы, вы не можете сохранить железнодорожное сообщение даже один раз в неделю.</p>",8,просить пустить пригородный поезд льгов-белгород-льгов понимать человек страдать пустить хотя неделю-по воскресение вагон смочь поезд профинансировать ездить неделя качество перевозчик хотеться видеть ппк черноземье пользоваться услуга данный компания хотеть сказать обслуживание высота пускай билет дороже сделать данный поезд тарифный план поезд пускать также поезд должный номерации должный останавливаться каждый остановка останавливаться крупный оп станция надеяться услышать услышать также деревня умирать молодец мочь сохранить железнодорожный сообщение неделя
Обработка городской среды от клещей.почему в городской черте не обрабатывают газоны и клумбы от клещей?,3,обработка городской среда клещ почему городской черта обрабатывать газон клумба клещ
"Здравствуйте! На продолжении последних нескольких лет, не смотря на произведённый ремонт близлежащих улиц, на переулке Пирогова дорожное покрытие практически исчезло, имеются многочисленные ямы и провалы.",0,продолжение последний несколько год смотреть произвести ремонт близлежащий улица переулок пирогов дорожный покрытие практически исчезнуть иметься многочисленный яма провал
"<p>Добрый день! Суть проблемы такова, я являюсь жителем д. Буклята Золотухинского района Курской области. На протяжении долго времени по всей территории населенного пункта отсутствовало твердое дорожное покрытие &nbsp;(автомобильная дорога), что очень усложняло передвижение до социально-значимых объектов п. Золотухуно при неблагоприятных метеоусловиях. С данной проблемой не раз обращались жители деревни, проводили собрания, собирали подписи. В администрации Золотухинского района на обращения жителей дали ответ о том, что населенный пункт внесен в перечень объектов, на которых планируется строительство автомобильной дороги. Так и случилось, Постановлением от 20.12.2018г. №871-па Администрации Золотухинского района Курской области “ О внесении изменений в постановление Администрации Золотухинского района от 12.11.2015г. №555 “Об утверждении муниципальной программы Золотухинского района Курской области &nbsp;“Развитие транспортной системы, обеспечение перевозки пассажиров в Золотухинском районе Курской области и безопасности дорожного движения” `было предусмотрено разработка и экспертиза проектно-сметной документации на строительство автомобильной дороги к д. Буклята &nbsp;Золотухинского р-на Курской области протяженностью 3 км.&nbsp; В 2021г. 1 июня 2021г. подрядная организация приступила к подготовительному этапу строительства автодороги, а именно расчистки и выравниванию территории. Нашему разочарованию не было предела. Как выяснилось, протяженность строящейся автомобильной дороги составляет всего лишь 802 м., которая обеспечит круглогодичный подъезд к домам &nbsp;№4-26, при этом дома с №31 по №64, находящиеся с противоположной стороны ручья совсем лишены дорожного покрытия. &nbsp;В осенне-весенний период &nbsp;дома остаются отрезанными от социальных объектов п. Золотухино т.к. осенью и весной происходит разлив ручья и автотранспорт (включая автотранспорт экстренных служб) не может проехать. Жители вынуждены добираться до п. Золотухино пешком вдоль железной дороги, что является не самым безопасным маршрутом. При вводе в эксплуатацию автомобильной дороги для жителей домов №31-64 ничего не изменится, и все также мы будем отрезаны от п. Золотухино. На вопрос, почему протяженность дороги так уменьшилась в администрации Золотухинского района заявили, что часть домов находится на границе земель, предназначенных для нужд РЖД, да так оно и есть, согласно публичной карты Росреестра граница проходит по земельным участкам домов №1-3 , и я допускаю, что строительство автомобильной дороги в этом месте недопустимо. Одному из собственников было предложено осуществить строительство автодороги непосредственно по его участку, на что он согласился, считая, что данную территорию у него выкупят, но как оказалось, &nbsp;администрация планировала получить земельный участок на безвозмездной основе. После озвученных решений собственник отказался. Почему нельзя реализовать проект автомобильной дороги протяженностью 3 км со стороны домов №27-30 и охватить всю оставшуюся часть деревни, в указанном месте преград для строительства нет. Но администрация пошла по самому простому пути, и буду уверен в том, что с вводом в эксплуатацию участка дороги протяженностью 802 м. при поступлении жалоб со стороны жителей, будут отчитываться, что на всей протяженности &nbsp;деревни имеется твердое дорожное покрытие, которое было введено в эксплуатацию в 2021 году. Прошу Вашей помощи &nbsp;в реализации проекта по строительству дороги в оставшейся части деревни, так как другого выхода в сложившейся ситуации я не вижу, и если не предпринять меры сейчас, в дальнейшем &nbsp;действовать будет бесполезно и на все найдется банальная отписка.</p>",0,суть проблема таков являться житель букленок золотухинский район курский область протяжение долго время весь территория населить пункт отсутствовать твердый дорожный покрытие автомобильный дорога усложнять передвижение социально-значимый объект золотухуно неблагоприятный метеоусловия данный проблема обращаться житель деревня проводить собрание собирать подпись администрация золотухинский район обращение житель дать ответ населенный пункт внести перечень объект который планироваться строительство автомобильный дорога случиться постановление администрация золотухинский район курский область внесение изменение постановление администрация золотухинский район утверждение муниципальный программа золотухинский район курский область развитие транспортный система обеспечение перевозка пассажир золотухинский район курский область безопасность дорожный движение предусмотреть разработка экспертиза проектно-сметный документация строительство автомобильный дорога букленок золотухинский р-на курский область протяженность километр июнь подрядный организация приступить подготовительный этап строительство автодорога именно расчистка выравнивание территория разочарование предел выясниться протяженность строиться автомобильный дорога составлять лишь который обеспечить круглогодичный подъезд дом дома находиться противоположный сторона ручей лишить дорожный покрытие осенне-весенний период дом оставаться отрезать социальный объект золотухино осень весна происходить разлив ручей автотранспорт включая автотранспорт экстренный служба мочь проехать житель вынудить добираться золотухино пешком вдоль железный дорога являться самый безопасный маршрут ввод эксплуатация автомобильный дорога житель дом ничто измениться весь также отрезать золотухино вопрос почему протяженность дорога уменьшиться администрация золотухинский район заявить часть дом находиться граница земля предназначить нужда ржд оно согласно публичный карта росреестр граница проходить земельный участок дом допускать строительство автомобильный дорога место недопустимый собственник предложить осуществить строительство автодорога непосредственно участок согласиться считать данный территория выкупить оказаться администрация планировать получить земельный участок безвозмездный основа озвучить решение собственник отказаться почему реализовать проект автомобильный дорога протяженностью километр сторона дом охватить весь остаться часть деревня указать место преграда строительство администрация пойти простой путь уверенный ввод эксплуатация участок дорога протяженность поступление жалоба сторона житель отчитываться весь протяженность деревня иметься твердый дорожный покрытие который ввести эксплуатация год просить помощь реализация проект строительство дорога остаться часть деревня выход сложиться ситуация видеть предпринять мера дальнейший действовать бесполезный весь найтись банальный отписка
